Dish (Unique ID),Carb,Protein,Veg,Fruit
Pumpkin Porridge without Mince,Porridge,#N/A,Pumpkin,#N/A
Pumpkin Porridge with Pork Mince,Porridge,Pork,Pumpkin,#N/A
Pumpkin Porridge with Beef Mince,Porridge,Beef,Pumpkin,#N/A
Penne Pasta with Beef Mince,Pasta,Beef,#N/A,#N/A
Sausage Roll with Sausage Filling,Pastry,Sausage,#N/A,#N/A
Sausage Roll with Sausage & Veg Filling,Pastry,Sausage,Zucchini,#N/A
Pancake with Banana Topping,Pancake,#N/A,#N/A,Banana
Pancake with Sliced Apple Topping,Pancake,#N/A,#N/A,Apple
Scramble Egg with Baked Beans & Rice,"Rice, Baked Beans",Egg,#N/A,#N/A
Broccoli Beef,#N/A,Beef,Broccoli,#N/A
Egg Fried Rice,Rice,Egg,#N/A,#N/A
Watercrest & Beef Soup,#N/A,Beef,Watercrest,#N/A
Miso Soup with Seaweed,Tofu,#N/A,Seaweed,#N/A
Chicken Soup with Potato & Carrots,Potato,Chicken,Carrot,#N/A
Stir Fry Vegetables (Multiple),#N/A,#N/A,"Carrot, Cabbage, Bok Choy, Onion",#N/A
,,,,
Fusilli Pasta without Mince,Pasta,#N/A,#N/A,#N/A
Penne Pasta without Mince,Pasta,#N/A,#N/A,#N/A
Baked Sweet Potato,Sweet Potato,#N/A,#N/A,#N/A
Baked Potato,Potato,#N/A,#N/A,#N/A
Rice,Rice,#N/A,#N/A,#N/A
Stir Fry Hokein Noodle,Wheat Noodle,#N/A,#N/A,#N/A
Stir Fry Pad Thai Noodle,Pad Thai Noodle,#N/A,#N/A,#N/A
Instant Noodle,Wheat Noodle,#N/A,#N/A,#N/A
Coconut Pancake,Pancake,#N/A,#N/A,#N/A
Braised Potato,Potato,#N/A,#N/A,#N/A
Naan,Naan,#N/A,#N/A,#N/A
Udon,Udon,#N/A,#N/A,#N/A
,,,,
Soy Pork Belly,#N/A,Pork,#N/A,#N/A
Soy Pork Belly with Boiled Egg,#N/A,"Pork, Boiled Egg",#N/A,#N/A
Baked Frenched Lamb,#N/A,Lamb,#N/A,#N/A
Steamed Egg,#N/A,Egg,#N/A,#N/A
Fried Egg,#N/A,Egg,#N/A,#N/A
Hard Boiled Egg,#N/A,Boiled Egg,#N/A,#N/A
Poached Egg,#N/A,Egg,#N/A,#N/A
Stir Fry Beef,#N/A,Beef,#N/A,#N/A
Stir Fry Chicken,#N/A,Chicken,#N/A,#N/A
Beef Meatballs,#N/A,Beef,#N/A,#N/A
Beef Burger Patties,#N/A,Beef,#N/A,#N/A
Pork Meatballs,#N/A,Pork,#N/A,#N/A
Pork Burger Patties,#N/A,Pork,#N/A,#N/A
